Article Title,Abstract,Publication Year
基于神经网络LSTM的Markowitz扩展模型的投资组合优化,文章对长短期记忆网络(LSTM)模型在预测股票价格方面的应用进行了研究，并探讨了如何将LSTM模型的预测结果融入Markowitz传统投资组合优化模型中。报告了LSTM模型在投资组合管理中的新现状，特别是在预期收益波动率的预测方面。通过数据集调整和训练次数的优化实验，研究对模型预测精度的提升潜力进行了调查，并发现精确度可接近90%。最后，文章基于LSTM预测数据进行了最佳投资组合构建及其收益分析。,2025.0
基于深度学习收益预测的均值—下偏差投资组合优化研究,"本文使用下偏差对风险进行度量,考虑投资者需求,构建了新的风险度量指标LPD<sub>α</sub>,使用LSTM,CNN和DNN三种深度学习方法预测股票收益,将预测结果应用到下偏差投资组合模型中。考虑投资者需求和偏好、交易成本约束、上界约束和借贷约束等现实约束,构建均值一下偏差投资组合模型,并应用序列二次规划算法和不等式组的旋转算法进行求解。本文选取上证50指数成分股作为样本,进行样本内检验及样本外检验,进一步验证所提出模型的有效性,并在实证研究中探究了各约束条件对投资组合的影响。运用深度学习方法分析股票市场数据,有利于提高个人及机构投资者处理复杂金融数据的能力,为科学合理地制定投资策略提供技术支持。",2025.0
融合风险对冲机制的投资组合对冲交易策略,针对投资组合对市场下跌风险即系统性风险感知弱，提出融合风险对冲与投资组合策略，建立投资组合对冲交易策略，在投资过程中反向持仓对冲资产。基于深度强化学习的Actor-Critic算法，使用目标网络定时更新，模型可以持续学习；运用长短期记忆网络预测动作概率，根据概率随机选择动作。实验结果显示，对冲策略可以降低投资风险，使累计收益率稳定增长。测试集相比于传统策略，索提诺比率、夏普比率明显提升，下行风险降低22.95%，最大回撤降低56.92%。,2025.0
基于阈值距离加权损失的股票收益预测,"股票收益预测的准确性对投资决策具有关键影响.随着深度学习模型的引入,收益预测的性能得到了显著提升.但是,现实世界中的股票序列常常包含多种模式的异常值,这些异常值在一定程度上扭曲了数据的关键统计指标,掩盖了序列的真实趋势,削弱了深度学习模型的预测能力,严重时可能导致后续投资决策的失误.鉴于此,本文在考虑异常值存在的场景和梯度下降算法的学习特性的基础上,提出了一种新颖的损失函数:阈值距离加权损失(threshold distance weighted loss, TDW).该损失通过为样本施加差异化的权重,有效减少了模型对异常值的敏感度.模拟研究和实证分析验证了该方法的预测准确性和稳健性,证明其能够为投资组合带来稳定的正向收益,并为实际金融投资决策提供有力支持.",2025.0
基于复杂多维场景生成的M-CVaR-高阶矩投资组合研究,构建合理的投资组合能够实现资金的有效配置，对于提高收益和降低风险至关重要。随着机器学习方法的蓬勃发展，深度学习和智能优化算法等新兴技术与投资组合的融合正在不断改变传统的投资方式。本文首先基于一种生成式深度学习方法——最小二乘生成对抗网络，模拟证券未来收益的复杂多维场景，从而有效把握资产未来收益的不确定性信息。其次，拓展不确定性场景下投资组合的CVaR及收益率高阶矩的估计方式，以解决复杂多维场景计算下的投资损失控制问题。构建多目标投资组合优化问题，弥补仅考虑预期收益和CVaR而忽略高阶矩风险的不足。最后，引入Tent混沌映射和混合惩罚函数以改进NSGA-Ⅲ，从而求解该高维、高阶矩、非线性问题。实证研究以市场规模大且流动性好的上证50指数成份股构建投资组合，结果表明所构建的新模型在样本外累积收益和夏普比率等评价指标上表现更好。本文提出的投资组合模型有助于提高样本外投资绩效，同时也丰富了目前投资组合方法论研究。,2024.0
基于深度学习的收益率预测与投资组合模型,在资产池中选出具有高回报的优质资产，是投资组合模型的关键因素。文章采用长短期记忆网络这一深度学习算法对资产收益进行预估，提高了精准识别高质量资产的能力，并因此增进投资组合策略的表现；然后使用均值-方差模型对选出的优质资产进行投资比例划分；最后以中国大宗商品期货市场为资产池，进行100期投资，从收益率、风险和风险收益三个方面选取不同指标来评估投资组合的绩效，结果表明LSTM+MV投资组合在风险绩效上表现最优，且取得较好的收益。,2024.0
基于LSTM和DDPG的股票交易决策算法,随着人工智能应用的发展，在动荡多变的金融市场中帮助投资者获得可观收益的最优自动股票交易策略成为目前的研究热点.因此，提出了一种股票交易决策算法LSTM-DDPG (LongShort-TermMemoryNetwork-Deep Deterministic Policy Gradient)，将擅于捕捉时间序列特征的LSTM网络融入擅于处理高维空间数据的DDPG算法，并加入Dropout操作来减少过拟合.为了更好地把握市场的动态变化，引入了股票市场中六种经典技术指标来拓展LSTMDDPG的状态空间维度.同时，在LSTM-DDPG上使用累计收益和夏普比率两种奖励函数，为投资者提供多种投资方案.为了验证提出的算法的有效性，将该算法应用在单只股票和股票投资组合两种交易任务中，两种投资任务的数据集均包含了美国市场和中国市场的数据.实验结果表明，在两种投资任务的国内外市场中，所提出的算法在累计回报、夏普比率、卡玛比率等多个评价指标上均有良好表现.,2024.0
基于机器学习超参数优化的均值-方差投资组合决策研究,"本文提出一种基于机器学习超参数优化的均值-方差投资组合模型。该模型包括股票预测和投资组合优化两个阶段。具体上，首先，采用基于特定概率改进的萤火虫算法(pFA)优化XGBoost的超参数，构建pFAXGBoost混合模型预测股票的收益，并将其预测能力与XGBoost, LSTM和SVR模型进行比较。其次，选择具有较高预测收益率的股票构建股票池，且考虑交易成本与上下界约束条件下，采用MV和1/N模型构建预选股票的最优投资组合。基于沪深300指数成分股的实证分析显示，相较于其他模型和基准指数，pFAXGBoost+MV模型具有更优的收益与风险指标表现。",2024.0
基于机器学习的投资组合研究,股票市场的随机性使得如何利用已知信息构造投资组合并在规避风险的前提下获得最大收益成为人们关注的重要问题。使用熵权-TOPSIS法对指标进行赋权并据此对沪深300成分股进行排序筛选。基于随机森林模型和LSTM(long short-term memory)模型对股票收盘价进行预测，选择月收益率排名前7的股票利用均值-方差模型进行投资组合构建，分析不同预测模型下投资策略的收益情况，最终通过实验验证选择LSTM预测模型得到的投资组合能够获得更高的收益，且具有较高的回报稳定性。,2024.0
基于TSO-LSTM神经网络的股票收益率均值预测模型及其在智能投资中的应用,根据股票收益的历史数据，建立数据和模型双驱动的智能资产配置系统，指导股民投资实现收益最大化.使用金枪鱼群优化(TSO)算法寻参的长短期记忆(LSTM)神经网络为分布鲁棒优化投资组合模型提供收益率的均值与协方差矩阵，求解更符合实际情况的分布鲁棒模型得到投资方案.该模型提出的方案在未来前10 d的收益明显高于直接使用历史均值的分布鲁棒模型，亏损天数少于直接使用历史均值的分布鲁棒模型和平均分配资金的方案.同时该文提出的决策系统随着时间的推移，可以通过更新历史数据重新训练LSTM网络，使得模型保持良好的效果.TSO-LSTM神经网络能有效地抓住股票收益率的历史数据特征，实时动态地为投资者提供良好的投资决策.,2024.0
基于Transformer和关键特征的可解释端到端投资组合策略,"基于深度学习的端到端投资组合策略具有较高的决策性能,但其黑箱操作使得决策机制缺乏可解释性.本文使用深度学习、强化学习及知识蒸馏方法,构建了兼具决策能力和可解释性的端到端投资组合策略.首先,利用改进Transformer模型缓解其内置的二次复杂性问题,并据此提出长序列表征提取器.其次,通过跨资产注意力网络和强化学习算法,构建一个非线性的“黑箱”模型,用于金融资产的动态配置.然后,通过计算模型输出相对于资产特征的梯度,计算在特征域上的显著性向量,从而识别出影响较大的关键特征.最后,在关键特征上提取一个线性回归模型,进而得到了简单而具有经济学解释意义的端到端投资组合策略.实证结果显示,这种基于Transformer和关键特征的可解释端到端投资组合策略可以获得较好的收益与风险表现,兼具深度学习决策性能和解释性.本文的研究为深度学习在金融领域的应用提供了一种兼具高效决策能力与可解释性的投资组合策略.",2024.0
A股市场的隐性因子模型——基于特征排序框架的深度学习,随着深度学习技术的快速发展，其在资产定价领域的应用受到了广泛关注。本文深入探讨了因子定价模型的理论基础，并结合深度学习技术，提出了一种基于特征排序并以深度神经网络为主体所构建的隐性因子模型。该模型克服了传统因子模型在处理非线性问题和假设检验方面的局限，同时采用合理的激活函数以准确地模拟真实的投资组合构建过程。在对中国A股市场的实证分析中，本文提出的深度神经网络模型在样本外预测表现上显著超越了基准模型，并在均方有效前沿投资组合构建中实现了最高的累计收益和夏普比率。此外，通过对模型输出的梯度特征重要度分析，发现A股市场的月度收益率受交易类特征的影响最为明显，体现了中国股市作为一个发展中市场的特点。本文为深入理解隐性因子模型的构建，以及A股的市场行为模式提供了新的见解。,
基于随机森林算法的ESG评价模型及其应用,为积极践行我国生态优先、节约集约、绿色低碳的高质量发展道路，探索金融行业的ESG管理实践、做好绿色金融大文章，本文借鉴国际主流ESG评级框架和信用评级领域建模实践，立足我国国情，创新构建了一套基于随机森林算法的ESG评价模型。通过机器学习方法的应用，本文建立起上市企业ESG表现与企业财务绩效以及投资组合收益的逻辑框架，为投资组合构建和风险防控提供了一套新的方法。在比较分析多种深度学习算法后，最终采用了随机森林算法来构建模型，预测上市公司ESG评分。从实证分析结果来看，本文的ESG评价模型具有较好的分层效果和单调性，ESG优选组合能获得优于业绩基准的超额回报，在一定程度上反映了上市公司追求经济价值与社会价值相统一的发展观，较好地契合经济高质量发展要求。,2024.0
基于多层图关系和强化学习的策略教学研究,教育信息化的发展为促进教学内容多样化提供了更多方案。为了丰富程序化交易课程的内涵，对量化策略的探讨研究提出了新的案例教学方法。由于在股票趋势预测的任务中，公司股票的预测会受到相关联公司及多方面的隐性层面高管关系的影响。为了有效应对股票市场波动中的动量溢出效应，就高管因素的影响提出一个基于多层图卷积神经网络(GCNN)的股票趋势预测及智能量化交易模型，将其应用于实际课堂教学中充实课堂实例教学任务。该模型首先结合股票历史数据和市场媒体信息，然后利用多层GCNN提取股票之间包含的具有交叉效应的公司间显性关系和高管间隐性关系等信息进行趋势预测，最后通过强化学习(RL)进行策略训练。该模型不仅有效提高了股票趋势预测的准确性，而且有效提升了投资组合优化收益。在CSI100E和CSI300E数据集上的实验结果表明，该模型得到60.19%和57.44%的准确率，而图卷积网络(GCN)模型得到51.58%和55.79%的准确率。通过分析得出该模型的股票趋势预测效果更好，加入了预测结果的智能投资决策也更有效。该研究的方法和实验结果为金融课程提供了实际案例，可帮助学生理解复杂市场动态和量化交易策略。,2025.0
基于混合集成预测算法和Black-Litterman模型的投资组合优化策略研究,股票收益率的准确预测能够有效提高投资组合的样本外表现，对投资者与监管层具有重要意义，现有研究多采用单个预测模型对股票未来收益进行预测，但单个预测模型很难同时对大量不同数据特征的股票资产进行稳健的预测。为针对不同数据特征的股票进行精准预测，本文提出了一种基于5种预测算法以及5种集成算法的混合集成算法。通过混合集成算法生成投资者观点提前筛选出一部分优质股票资产，进而结合Black-Litterman (BL) 模型构建一种更为有效的投资组合策略。实证结果显示：相较于基准模型，混合集成算法能够显著降低对股票未来收益率的预测误差；股票预选择后各个投资组合策略的样本外表现均显著优于沪深300指数的表现；基于混合集成预测算法与BL模型构建的投资组合策略的样本外绩效明显优于最小方差、最大夏普比、最大期望收益、等权重和等风险权重等传统投资组合策略以及其它基准预测算法与BL模型结合所构建的投资组合策略；最后，通过改变滚动窗口长度开展了稳健性检验，进一步验证了该方法的稳健性。这个基于混合集成预测算法和Black-Litterman模型的投资组合策略能够稳健地提升大规模股票投资组合的样本外绩效，为真实市场上的股票提供理论指导。,
