Article Title,Abstract,Publication Year
基于拓扑结构特征的投资组合构建研究：以中国A股市场为例,近年来，拓扑数据分析（Topological Data Analysis， TDA）在金融领域的应用逐渐显现出其价值。TDA通过持久同调等方法构建复形，能有效量化数据的形状，以便提取数据信息，为时间序列分析，特别是金融时间序列的聚类与投资组合的构建提供了独特优势。据此，通过采用TDA方法对中国股票市场的时间序列数据进行深入挖掘，结合聚类算法，并应用于投资组合的构建，分析其有效性。通过滑动窗口法验证，结果表明基于TDA（去噪）聚类的投资组合在回报风险比和稳定性方面表现良好，优于市场整体表现。研究表明，TDA方法可以更有效地挖掘股票数据中的信息，为投资者提供科学依据，取得最佳收益。,
考虑投资者关注度的反转型在线投资组合策略,人工智能和机器学习技术的发展，极大地提高了金融信息处理的效率，特别是能够挖掘对股票市场具有重要影响的隐性数据变量。已有研究发现投资者关注度对股票市场存在较大的影响，因此该文从投资者关注度这一隐性变量出发，研究反转型在线投资组合策略。首先，将股票的代码和简称作为搜索词，通过爬虫技术获取百度指数中两者的搜索指数之和，并基于搜索指数和平滑技术，构建了投资者关注度指标。然后，结合股票市场的反转效应，设计了考虑投资者关注度的反转型在线投资组合策略。最后，使用国内股票市场的历史交易数据进行了回溯测试。结果表明，该文设计的策略在提高投资收益和降低风险等性能方面表现较好，改进了已有的反转型在线投资组合策略。此外，该文还对策略涉及的时间窗口和滞后期窗口两个参数进行了敏感性分析，表明策略在一定的参数范围内具有较好的稳健性。,
基于深度确定性策略梯度算法的股票投资组合策略研究,为构建更加全面有效的投资组合，采用了深度确定性策略梯度算法，并在奖励函数中引入了风险衡量指标索提诺比率来实现风险与收益之间的权衡.除基本的股票数据外还将股票市场中的技术指标作为状态的输入，以捕捉股票市场的主要趋势.经数据检验，与其他强化学习算法对比，改进奖励函数的DDPG算法能够在控制风险的同时得到较高收益，有效地实现了风险的分散和投资组合的稳健性.,2025.0
基于神经网络LSTM的Markowitz扩展模型的投资组合优化,文章对长短期记忆网络(LSTM)模型在预测股票价格方面的应用进行了研究，并探讨了如何将LSTM模型的预测结果融入Markowitz传统投资组合优化模型中。报告了LSTM模型在投资组合管理中的新现状，特别是在预期收益波动率的预测方面。通过数据集调整和训练次数的优化实验，研究对模型预测精度的提升潜力进行了调查，并发现精确度可接近90%。最后，文章基于LSTM预测数据进行了最佳投资组合构建及其收益分析。,2025.0
基于可预测信息的投资组合构建,立足于机器学习方法预测股票收益率后再构建投资组合的两阶段资产配置模型，对上证50指数成分股2015年1月至2023年10月期间的样本数据进行建模分析。首先使用K近邻算法（KNN）、支持向量回归（SVR）、随机森林算法（RF）和极端梯度提升法（XGBoost）对股票的未来收益进行预测，并根据预测结果选择具有更高潜在收益的股票；然后基于选定资产使用融合了预测信息的均值-方差（MV）模型进行最优资产配置。在比较四种机器学习模型的预测结果后，发现RF算法相较于其他三种机器学习方法（KNN算法、SVR算法和XGBoost算法）具有更高的预测精度。通过运用融合了预测信息的MV模型构建选定资产的最优配置策略，结果表明，RF-MV模型能够实现比其他投资组合模型更高的年化收益率、累计收益率和夏普比率。,
考虑投资者情绪的均值回归在线投资组合策略,"利用文本中包含的投资者情绪挖掘股票的均值回归特征,从相对价格层面提出了基于回归特征修正的价格预测方法.将策略微调后的均值波动收益作为优化目标,利用窗口期内相对价格的波动导致的潜在收益控制模型的优化强度,提出了基于回归特征修正和微调惩罚的在线投资组合策略.选取上证100、沪深300、富时A50和恒生指数等国内指数市场数据对策略进行验证,结果表明:本文所提相对价格预测方法能提升现有均值回归策略的收益,所提策略的收益高于现有均值回归策略.采用短期内的投资者情绪作为市场均值回归特征,能更好地捕捉股票变化,提升改进策略的整体绩效表现.",2025.0
嵌入ESG资产能否缓释绿色能源股票市场风险?——基于波动溢出视角的实证研究,"随着全球能源、环境及气候变化等问题日益突出，ESG(环境、社会和治理)投资和绿色能源股票因其与可持续发展理念高度契合而备受投资者关注。本文构建时变参数向量自回归模型(TVP-VAR),从资产间的波动溢出视角，研究我国ESG投资与绿色能源股票的市场风险关联，量化分析ESG投资对缓释绿色能源股票市场风险的潜力，并基于此提出投资组合绩效优化策略。结果表明，ESG投资与绿色能源股票市场间存在显著的风险关联，且与经济事件密切相关。其中，ESG资产是系统中风险的主要净接收者，具有缓释绿色能源股票市场风险的潜力，嵌入ESG资产的绿色能源投资组合在风险、收益和绿色可持续之间实现有效均衡。此外，最小连通性投资组合表现突出，表明系统中有关资产间的风险关联信息有助于投资组合的构建。",2025.0
融合风险对冲机制的投资组合对冲交易策略,针对投资组合对市场下跌风险即系统性风险感知弱，提出融合风险对冲与投资组合策略，建立投资组合对冲交易策略，在投资过程中反向持仓对冲资产。基于深度强化学习的Actor-Critic算法，使用目标网络定时更新，模型可以持续学习；运用长短期记忆网络预测动作概率，根据概率随机选择动作。实验结果显示，对冲策略可以降低投资风险，使累计收益率稳定增长。测试集相比于传统策略，索提诺比率、夏普比率明显提升，下行风险降低22.95%，最大回撤降低56.92%。,2025.0
基于智能投顾技术与机器学习算法的个性化养老基金设计,当今，我国已经提前进入老龄化社会，人口老龄化已成为社会发展的重要趋势。从金融视角提出“投资组合+智能投顾技术”的创新型养老理财产品设计思路，为了解决当下养老基金缺乏“适老性”“个性化”，以及与目前老年人投资心理需求的不匹配等问题，提出创新式解决方法。本文提出的投资组合构建方法为当下养老基金设计提供了量化手段并提高了投资产品的“适老性”，是普惠金融方向下创造适用于老年人群体的投资产品的一次尝试。,2025.0
基于BP神经网络的三因子均值-方差投资组合优化,"基于资产的历史收益率信息,运用最小二乘法拟合Fama-French三因子模型中资产收益率与市场因子、规模因子和账面市值因子等公共因子之间的关系.在此基础上使用BP神经网络预测公共因子,进而计算资产的预期收益.考虑V型交易成本,借贷限制和阈值约束,构建了基于BP神经网络的三因子均值-方差投资组合模型(FFMV).该模型是是一个凸二次规划问题,运用不等式组的旋转算法进行求解.最后,从沪深A股中随机选取48支股票为样本进行实证分析.样本内分析发现:当其他条件相同时,交易成本越高,投资组合有效前沿水平越低;风险资产交易量上界越高、无风险资产的可借入量越高,投资组合有效前沿水平越高.样本外检验表明:相较于等比例投资组合模型和上海证券综合指数,基于BP神经网络的三因子均值-方差投资组合模型的累计收益率、年度夏普比率和年度索提诺比率水平更高.",2025.0
