Article Title,Abstract,Publication Year
基于FFT与Transformer算法的混合期权定价模型研究,"为解决经典期权定价模型与实际价格数据偏差较大的问题，选取BS期权定价模型，采用快速傅里叶变换（Fast Fourier Transform, FFT）结合Transformer多头注意力机制深度学习算法，对上证300ETF期权与上海期货交易所黄金期权数据进行实证研究，通过改进的Transformer算法对基于FFT算法的期权定价模型与实际金融市场期权价格数据之间的残差值进行二次训练。结果表明，与其他算法（BS、FFT-BS）及其他混合算法（FFT-BS+ARIMA、FFT-BS+LSTM）模型相比，基于FFT-BS+Transformer的算法在R<sup>2</sup>、MSE、NRMSE以及MAE等统计指标上均有很好的表现，且针对不同波动、不同品种的期权，该混合算法模型均取得了较好的结果。将改进后的Transformer算法应用到期权定价中，可弥补经典期权定价模型的不足，提供了更加精确的期权定价模型。",2024.0
一种基于预测波动率的期权定价系统,要进行期权定价就要准确描述资产价格的波动率。大量的研究表明，市场上资产价格波动率为常数的传统假设已渐渐不适用于现代金融市场计量的发展，而随机模型在实际应用中尚存一些难以克服的困难问题。本文设计的期权定价系统在常数波动率和随机模型之间寻求一种折衷建模方式，模型只对波动率做可预测的假设。首先基于深层玻耳兹曼机提取波动率的影响因子建立波动率DBM-ANN模型，基此利用随机微分和鞅方法在风险中性条件下得到期权定价公式。该系统无需假定波动率的分布形式，通过资产价格确定模型参数，一定程度上克服了传统人工设计波动率模型形式，参数只能使用期权市场价格进行估计的不足。计算实验中，数值结果表明系统对波动率运动规律的刻画精度比较理想，并通过对比发现B-S公式对50ETF股票期权的定价往往低于本文期权定价，其程度会随着距离到期日剩余的时间的增加而增加，随着S/K→1时而增加。,
碳交易视角下企业碳资产价值评估研究,碳资产价值评估是企业参与碳市场、管理碳资产、提升企业低碳价值的前提与关键。考虑到当前我国碳市场交易产品以碳配额和国家核证自愿减排量（CCER）为主，以上述两种碳交易产品为研究对象，综合考虑碳资产价值的影响因素，采用长短期记忆网络（LSTM）和B-S期权定价模型对碳资产交易价格进行预测，构建企业碳资产价值评估模型，并通过算例验证该模型的有效性。研究发现，通过对碳资产价值的量化评估，能够实现企业碳资产价值最大化。针对企业和政府提出优化碳资产价值评估方法、完善碳资产管理制度、加强对碳资产交易的监管等建议，以期为企业碳资产管理和投资决策提供参考。,2023.0
基于N-BEATS模型的气温衍生品定价,"在全球气候变暖大背景下,我国极端高温事件频发,气候风险呈上升趋势,农作物遭受严重损失.本文利用深度学习算法N-BEATS模型迭代预测未来气温的演变趋势,基于一天中极端高温强度和持续时间,构建一个全新的极端高温指数和相应的气温衍生品合约,旨在对冲农作物面临的极端天气风险.研究结果显示,本文提出的模型对未来气温变化的预测效果显著,新构建的天气衍生品能为极端高温风险提供一种有效的对冲工具.",
深度神经网络优化Heston定价模型,为提升Heston定价模型在金融衍生品定价中的准确性，本文构建一个预测期权收盘价的PINN＿Heston模型。采用结合PINN与Heston方程，构造物理方程约束训练的神经网络。模型以标的资产价格、到期时间及随机波动率为输入，期权价格为输出。实验的结果显示，PINN＿Heston方法在定价上优于传统Heston模型和Black-Scholes模型，说明深度学习方法在期权定价领域具有优势，可为金融模型的改进和创新提供一个新思路。,2025.0
基于LSTM的期权定价研究,期权是一种高度杠杆化的金融衍生品，在套利、套期保值方面具有突出的优势。经典的参数化定价方法，如Black-Scholes、Heston模型等，都是在较为苛刻的前提下，采用随机过程来描述股价的变化趋势。然而实际期权市场与上述严格假设条件具有较大差异，因此传统参数定价方法误差过大。因此，文章着眼于非参数定价方法，利用深度学习算法来模拟期权定价过程，选取上证50ETF期权数据，在更贴合实际情况的Heston期权定价理论基础上，利用深度学习中的LSTM神经网络对欧式期权定价进行可行研究。其结果表明LSTM模型的预测效果优于传统参数模型，且LSTM神经网络模型的预测精度与深度学习的训练次数有关。,2024.0
Bayes推断和神经网络求解美式回望期权的隐含波动率,首先，用原始对偶活跃集方法求解期权定价正问题，将相应的数值解作为监督学习的输出，然后用训练好的神经网络替代期权定价正问题模型.其次，结合Bayes推断与神经网络进行Metropolis-Hastings采样，求解隐含波动率反问题.该方法减少了采样过程中正问题计算量庞大的问题，从而加速了反问题求解过程.,2024.0
基于FFT与Transformer算法的混合期权定价模型研究,"为解决经典期权定价模型与实际价格数据偏差较大的问题，选取BS期权定价模型，采用快速傅里叶变换（Fast Fourier Transform, FFT）结合Transformer多头注意力机制深度学习算法，对上证300ETF期权与上海期货交易所黄金期权数据进行实证研究，通过改进的Transformer算法对基于FFT算法的期权定价模型与实际金融市场期权价格数据之间的残差值进行二次训练。结果表明，与其他算法（BS、FFT-BS）及其他混合算法（FFT-BS+ARIMA、FFT-BS+LSTM）模型相比，基于FFT-BS+Transformer的算法在R<sup>2</sup>、MSE、NRMSE以及MAE等统计指标上均有很好的表现，且针对不同波动、不同品种的期权，该混合算法模型均取得了较好的结果。将改进后的Transformer算法应用到期权定价中，可弥补经典期权定价模型的不足，提供了更加精确的期权定价模型。",2024.0
基于深度学习的上证50ETF期权定价研究,"近年来,以深度学习为代表的机器学习方法在金融领域中的应用越来越广泛。本文尝试将深度学习方法引入欧式期权定价研究中,构建了基于深度神经网络的非参数化期权定价模型(DNN模型),并利用上证50ETF期权交易数据进行了实证分析。研究发现:DNN模型的样本外定价误差显著低于经典的Black-Scholes模型(BS模型),并且从均方根误差来看,DNN模型在上证50ETF看涨期权上的定价精度较BS模型提升了76.97%;从平均绝对百分比误差来看,DNN模型在看涨期权上的定价精度较BS模型提升了63.74%,尤其在长期限和深度实值期权上表现出较高的定价精度。这些结果表明,基于深度学习的期权定价模型较BS模型在中国大陆期权市场上具有更高的定价精度,为投资者进行风险规避与衍生品定价提供了理论和实践依据。",2024.0
基于神经随机微分方程的期权定价,首先，基于Black-Scholes股票价格模型，通过将资产回报率和波动率分别参数化为漂移网络和扩散网络，建立神经随机微分方程(NSDE)模型；其次，在实证分析中以标的资产为单只股票的期权作为研究对象，采用真实的股票数据进行网络训练和测试，实验结果表明，NSDE模型能克服Black-Scholes模型常数性假设的缺陷；最后，对于期权标的资产价格不可观测的情况，提出可以将任意一个目标期权的价格和一个已知期权的价格约束在其风险中性等价鞅测度的Wasserstein距离内，并在理论上证明该方法.,2023.0
