Article Title,Abstract,Publication Year
我国绿色债券定价影响因素及估值模型选择研究,基于我国2018—2022年绿色债券发行数据，选取影响绿色债券定价的绿色因素、宏观因素、微观因素及企业属性相关变量进行回归分析，结果表明绿色债券第三方认证、市场利率、债券评级、发行规模、债券到期期限及主体属性对绿色债券利率影响显著，而企业的资产负债状况和通货膨胀水平对于绿色债券定价影响不明显。此外，由于绿色债券的含权特性，基于CIR模型的蒙特卡洛模拟分析结果表明期权调整利差法适用于绿色债券估值。,2025
基于粗糙随机模型的参数校准与定价研究,传统Black-Scholes期权定价模型因假定波动率为常数，导致定价结果存在较大误差。文章采用分数布朗运动驱动的粗糙Bergomi随机波动率模型，针对国内金融市场进行波动率曲面刻画，并采用2022年1月4日至2022年12月30日的沪深300ETF期权的日交易数据进行实证分析，利用神经网络两步法进行参数校准，结果表明，粗糙Bergomi模型的定价精度优于Heston模型和BS模型，神经网络两步法在参数优化效果上优于差分进化算法。,2025
深度神经网络优化Heston定价模型,为提升Heston定价模型在金融衍生品定价中的准确性，本文构建一个预测期权收盘价的PINN＿Heston模型。采用结合PINN与Heston方程，构造物理方程约束训练的神经网络。模型以标的资产价格、到期时间及随机波动率为输入，期权价格为输出。实验的结果显示，PINN＿Heston方法在定价上优于传统Heston模型和Black-Scholes模型，说明深度学习方法在期权定价领域具有优势，可为金融模型的改进和创新提供一个新思路。,2025
高维统计方法在金融市场波动性预测中的应用,随着金融市场数据维度的急剧增加，高维统计方法在波动性预测中展现出巨大潜力。研究聚焦于高维统计方法的应用，包括因子模型构建金融市场因子结构，识别并评估影响波动性的主要因子；LASSO回归通过变量选择简化模型，提升预测精度；以及混合模型结合两者优势，构建灵活预测框架。针对高维数据带来的维度灾难与数据冗余挑战，阐述了高维统计方法如何有效降维与筛选关键信息。通过实际案例，如，股票市场波动性预测、债券市场信用风险评估、外汇市场汇率波动预测、金融衍生品定价与风险管理，以及金融系统性风险监测与预警，展示了高维统计方法在提升预测精度、捕捉市场动态与识别关键影响因素方面的独特优势，为金融市场分析与决策提供有力支持。,2025
上海原油期货价格成为亚太地区基准价了吗？——基于有效性、主导性和独立性的三维视角研判,我国在石油等大宗商品价格形成的影响力严重缺失，因“亚洲溢价”问题长期承受较高的贸易成本，影响我国能源安全及经济稳定。由此应运而生的上海原油期货，以期扭转我国在全球石油贸易中的被动局面，发挥在亚太地区基准价的作用。为此，从有效性、主导性、独立性三维视角，采用时变参数向量自回归模型（TVP-VAR-DY）、分位数向量自回归模型（QVAR-DY）及网络分析等方法，系统地对上海原油期货价格成为亚太地区基准价的进程进行了研判。研究发现：上海原油期货价格发挥出了引导区域原油现货价格和规避市场风险的功能，具备有效性；上海原油期货价格在极高分位数水平下对亚太地区原油现货价格的影响具备优势，但其还未体现出主导性；上海原油期货价格作为信息发出者，具有较强惯性和抗风险能力，具备相对独立性。由此判断，上海原油期货已初步成长为具有区域影响力的原油期货，虽然对现货价格的主导性上与Brent和WTI尚有差距，但在价格走势上保有较强的区域独立性，对中国和整个亚太地区的供需能够予以及时、有效反馈，作为全球原油消费重地，亚太地区缺乏自身定价基准的局面正在改变。,2025
国内外碳金融研究进展及热点计量化可视文献分析,该文使用CiteSpace文献计量分析工具，对国内外碳金融的研究现状和热点进行可视化对比分析，以期为国内外碳金融的创新研究提供依据。该文基于2005年《京都议定书》生效以来直到2023年底在中国知网（1 020篇）和Web of Science(481篇)两个数据库共计1 501篇的碳金融相关文献，对其年度发文量、国家/地区、作者、机构合作网络以及被引文献、被引期刊、关键词共现、关键词聚类、突现关键词等进行计量分析并绘制知识图谱。研究发现，国内的研究紧跟政府的政策调整，研究热度波动非常大，研究领域与政策导向有较强的相关性，研究人员和机构呈现“大分散，小聚集”状态，目前的研究集中在金融、环境与资源、经济管理、投资、证券、市场研究等学科领域上，发文多在金融类期刊上。国际的研究从学术研究的特点出发，层层递进，逐步深入，基于前期的启蒙研究，后期成果丰硕，目前研究集中在金融、可再生能源、能源转型、可持续发展等领域上，发文期刊类型丰富。该文预期未来研究方向将继承过去的研究热点，在政府的政策导向和学科研究本身规律上寻找平衡点，帮助解决实际中出现的碳排放市场、碳汇市场、双碳目标和交叉学科联动等问题。该文建议未来在碳货币、碳基金、碳信贷、碳衍生品、碳保险等领域进行深入的补偿式研究，在碳定价权本土化、碳金融体系构建、气候变化投融资与全面经济发展等领域进行开创性研究。,2024
基于LSTM的期权定价研究,期权是一种高度杠杆化的金融衍生品，在套利、套期保值方面具有突出的优势。经典的参数化定价方法，如Black-Scholes、Heston模型等，都是在较为苛刻的前提下，采用随机过程来描述股价的变化趋势。然而实际期权市场与上述严格假设条件具有较大差异，因此传统参数定价方法误差过大。因此，文章着眼于非参数定价方法，利用深度学习算法来模拟期权定价过程，选取上证50ETF期权数据，在更贴合实际情况的Heston期权定价理论基础上，利用深度学习中的LSTM神经网络对欧式期权定价进行可行研究。其结果表明LSTM模型的预测效果优于传统参数模型，且LSTM神经网络模型的预测精度与深度学习的训练次数有关。,2024
Bayes推断和神经网络求解美式回望期权的隐含波动率,首先，用原始对偶活跃集方法求解期权定价正问题，将相应的数值解作为监督学习的输出，然后用训练好的神经网络替代期权定价正问题模型.其次，结合Bayes推断与神经网络进行Metropolis-Hastings采样，求解隐含波动率反问题.该方法减少了采样过程中正问题计算量庞大的问题，从而加速了反问题求解过程.,2024
基于对冲压力理论的中国商品期货定价研究,商品期货市场是中国特色金融市场的重要组成部分，对于投资者套期保值、价格发现具有重要意义。针对商品期货的定价，对冲压力理论认为期货价格取决于产业交易（套期保值）和金融交易（投机）博弈的净头寸，不同于芝加哥商品交易所等境外期交所，国内六家期货交易所发布的交易数据不区分套期保值者和投机者，将二者混同，这对中国商品期货对冲压力研究构成了较大困难。本文借鉴了前沿研究中对冲压力因子的若干构造方法，创新性地以会员持仓数据代替非商业交易者头寸，并使用有监督的缩放主成分分析法重新整合动量规则分解的短期和长期对冲压力因子，构造了改进的对冲压力因子。在此基础上，通过因子和模型有效性检验方法构建了包含市场、动量、基差动量和SPCA前10名Basu-Miffre会员对冲压力动量因子的四因子定价模型，验证了对冲压力理论在中国期货市场的适用性，丰富了我国商品期货多因子定价研究，为完善中国特色商品期货定价理论做出了有益的拓展。,2024
基于三阶段门限自回归模型的我国豆粕期货市场跨期套利量化投资分析,基于期货市场同一品种不同交割月份合约间价差的非线性特征及均值回复机制，利用存货理论、无套利定价理论和三阶段门限自回归模型研究了一种期货市场跨期套利量化交易策略，并利用大连商品交易所2017—2021年豆粕期货合约的日度价格数据对该策略进行了回测分析。研究发现：第一，从长期来看，豆粕期货合约近月份和远月份相差四个月的跨期套利组合价差自回归波动的上、下门限值并不显著，利用其作为判断无套利区间范围而进行跨期套利交易回测的盈利情况也并不稳定；第二，不同时间长度跨期套利组合价差序列门限的数值和显著性都存在较大差异，利用400天期价差序列门限值进行的动态量化投资回测效果要好于长期和短期价差序列；第三，整体来看，跨期套利的风险控制效果要优于投机交易，但是无套利区间不同的选取方式会使得量化投资策略的回测风险存在较大差异。,2024
