Article Title,Abstract,Publication Year
IP地理定位技术综述：理论、方法与应用创新,IP地理定位在推断网络空间实体位置方面具有关键作用，广泛应用于通信系统优化、金融风险防控和网络拓扑测绘等领域。针对近20年IP地理定位领域的研究论文进行系统总结，分析各类技术的特点、优势与局限性，并深入调研实际应用场景和潜在发展方向。通过构建综合性IP地理定位技术体系框架，整合不同方法与范式，重点分析目前存在的问题，旨在为后续研究提供理论与方法论的支持，推动IP地理定位技术进一步发展和创新性应用。,
基于人工智能技术的数学相关专业人才培养创新模式研究,<正>引言人工智能技术正引领人们进入一个数据驱动、算法主导的新时代，其影响广泛，涉及自动驾驶、智能医疗、金融风险评估以及语言翻译等领域。在这场变革中，数学作为核心基础科学，对人工智能算法设计、模型构建以及优化分析起着至关重要的作用。微积分、线性代数、概率论以及优化理论等数学知识为人工智能提供了坚实的理论支撑和工具，尤其在深度学习、机器学习等前沿领域，数学模型的构建和优化直接影响算法效率和准确性。,2025.0
基于深度学习的汇率风险监测预警研究,在金融全球化背景下，准确监测和预警汇率风险传染对于防范系统性金融风险、维护金融稳定与安全具有重要意义。本研究通过构建一个包含每日开盘和收盘交易汇率、最高和最低汇率等直接市场因素，以及上证指数、道琼斯指数、黄金期货、美国原油及美元指数等外部环境因素的数据指标体系，利用CNN-BiSTM-AM模型对汇率风险进行动态监测和预警，从而及时识别潜在的汇率风险，防止金融危机的发生。研究结果表明：CNN-BiSTM-AM模型在汇率风险动态监测和预警方面具有较高的预测精度，与其他7个模型相比，平均绝对误差降低了17%，均方根误差降低了15.5%，决定系数提高到0.951。,2025.0
基于深度学习的上市企业财务困境预测研究,识别面临财务困境的公司对于维护投资者信心、防范金融风险至关重要。为此，提出了一种新的Attention-LSTM-MOWOA模型，该模型在LSTM模型中集成了注意力机制和多目标鲸鱼优化算法(MOWOA)。与依赖单目标鲸鱼算法的传统模型相比，模型结合了非优势集和拥挤距离计算，最终在鲸鱼算法中形成了一个更复杂的多目标优化框架。这一改进使分类器能够敏锐地识别输入序列中的关键数据并确定其优先级，从而生成帕累托解决方案集。,2025.0
基于改进BERTopic模型的领域主题表征及演化研究,[目的/意义]瞄准领域前沿范围，预测未来发展研究主题，有助于科研工作者寻找该领域新的学科增长点，优化政府部门资源配置。[方法/过程]运用深度学习预训练模型增强文本的语义表示能力，提出改进BERTopic(SBERT-UMAP-HDBSCAN-TopMine)主题表征模型，以期丰富和完善主题表征与主题演化方法。首先，使用SBERT模型进行句子嵌入，弥补句子向量存在非光滑各向异性，UMAP降维后利用HDBSCAN算法进行主题聚类，为避免主题识别在语义表达上存在盲点，运用TopMine对聚类主题短语抽取进行主题表征；其次，利用WMD计算相邻时间段不同主题间相似度，发现不同时间段领域主题产生、发生和动态关联的过程，并对领域热点主题进行动态演化分析。[结果/结论]以供应链金融领域为例进行实证分析，将供应链金融的研究方向划分为供应链金融风险评估、供应链金融融资模式、现代金融科技赋能和可持续供应链金融4个类别，模型有助于提升供应链金融领域热点主题的可解释性与可识别性，通过动态演化分析发现可持续供应链金融是目前及未来关注的重点。,2025.0
时间序列异常检测综述,异常检测作为数据科学领域的关键任务之一，旨在识别显著偏离常规模式的数据点，在风险控制、故障预警和健康监测等应用中具有重要意义。本论文对时间序列异常检测进行了全面概括，分析了其面临的主要挑战和方法，复杂性主要来自数据特性、算法需求和应用场景三方面，包括数据分布的漂移、高维数据处理、噪声影响、实时性和泛化性等问题。我们将时间序列中的异常划分为三类：点异常、片段异常和变量间关联异常，并详细描述了各类异常的定义和检测方法。系统地回顾了基于传统统计、机器学习和深度学习的异常检测技术，分析了各类方法的优缺点及其适用性。统计方法在数据分布明确时表现良好，而机器学习和深度学习方法则在处理复杂数据时具备更强的适应性和能力，尤其是自编码器、卷积神经网络、循环神经网络、Transformer和基于图的方法等深度学习技术，在高维、非线性数据的处理中展现出显著优势，成为研究热点。此外，本文整理了SWAT、SMD、WADI等常用数据集，并说明了这些数据集在异常检测中的应用场景和特点。最后，总结了当前异常检测技术的发展现状，并展望了未来的研究趋势，强调提高模型的自适应性、泛化能力和可解释性是主要方向，研究将继续致力于多变量和多模态数据的整合，以及提升实时性和在线学习能力，以实现更高效和智能的异常检测，为金融风险控制、工业故障预警和健康监测等关键领域提供支持。,
开放型经济下系统性金融风险监测体系优化分析,建立灵敏的、前瞻的系统性金融风险监测体系，是牢牢守住不发生系统性风险底线的重要前提。本文将大宗商品价格指数、实际有效汇率指数引入市场不稳定性风险指标，将银行流动性指标引入市场流动性风险指标，构建了四个维度的系统性金融风险指标体系；在此基础上，利用主成分分析法计算系统性金融风险监测指数，并采用长短期记忆神经网络等深度学习方法检验系统性金融风险监测指数的灵敏性和前瞻性。研究得出以下结论：纳入大宗商品价格指数、实际有效汇率指数、银行流动性指标的系统性金融风险监测指数具有更灵敏、更前瞻的风险监测能力；在长短期神经网络模型下，系统性金融风险监测指数的预测值与真实值在整体上表现出变动的一致性；系统性金融风险监测指数对银行风险加权资产比例、不良贷款率、拨备覆盖率等风险指标能提前1周至1季度进行风险预警。本文结论为进一步优化系统性金融风险监测体系提供了一定的参考。,2024.0
基于机器学习算法的绿色金融风险预测模型,绿色环保的发展模式在生态环境压力骤增的情况下受到了广泛关注。在绿色金融领域，一个重要的挑战是预测未来的绿色金融风险并加以控制，因此本文的研究目的为建立合理的绿色金融风险预测模型。本文利用BP神经网络模型、随机森林模型、决策树模型、LSTM模型四种机器学习算法对绿色金融风险的影响因素进行了分析，提出了四个金融风险预测模型。此外，本文利用多家商业银行相关数据对四个模型进行了性能评价，结果表明，LSTM模型在绿色金融风险预测上有良好的效果。,2024.0
网络安全治理与股价崩盘风险——基于上市公司年报文本分析的证据,网络安全治理是维护国家数据安全和保障金融体系稳定运行的必要措施。本文基于2006～2019年中国A股上市公司数据，使用深度学习方法分析上市公司年报文本，构建了企业网络安全治理指标体系，研究企业网络安全治理对其股价崩盘风险的影响。实证分析结果表明，上市公司重视网络安全治理可以显著降低股价崩盘风险。该结论在更换解释变量、增加额外控制变量和以《中华人民共和国网络安全法》颁布作为准自然实验等稳健性检验后仍然成立。机制研究发现，企业加强网络安全治理显著降低了外界的信息不对称、提高了企业声誉，进而降低了股价崩盘风险。进一步研究发现，国有企业和规模较大、成长性较好、有形资产比例较低的公司更重视网络安全治理。本文结论为企业网络安全治理对金融风险的影响提供了经验证据，为企业网络安全治理相关政策制定提供了建议参考。,2024.0
一种基于金融时间序列数据的深度学习风险预测方法,金融时间序列数据的指标按照不同的会计准则会得到不同的数值，如何取舍会受到人为因素的干预。针对金融时序数据的领域泛化专门提出一种异常检测方法，解决特征分布的多样性和复杂性，捕捉金融序列数据的特有表征模式。将循环神经网络之后获得的结果仅作为学习到的知识，通过标准分类器在特征空间对其边缘分布进行适配，然后再通过隐变量自回归模型进一步进行预测，以此来提高预测的精度。然后，构建一个隐变量自回归模型来进行风险预测，通过捕捉金融时间序列数据之间的特征分布来识别其中的金融风险，实验结果表明，模型具有一定的可行性。,2024.0
