Article Title,Abstract,Publication Year
银行业对外开放加剧了系统性金融风险吗——基于我国31个省级行政区数据,银行业对外开放能够引导商业银行与国际接轨，提升国际竞争力，但也可能引发系统性金融风险，对金融稳定造成不利影响。文章以我国31个省（自治区、直辖市）2008—2022年的面板数据为支撑，利用混合回归、个体和时间双固定效应模型分析了银行业对外开放对各省系统性金融风险的影响，就银行业对外开放下我国东、中、西部地区的系统性金融风险进行了异质性分析，检验金融监管在银行业对外开放影响我国系统性金融风险中的门槛效应后，得出银行业对外开放增加了我国系统性金融风险，且主要集中在东部，银行业对外开放对我国系统性金融风险的影响程度与金融监管的强弱密切相关的结论，据此提出银行业对外开放下防范系统性金融风险的建议。,2025.0
IP地理定位技术综述：理论、方法与应用创新,IP地理定位在推断网络空间实体位置方面具有关键作用，广泛应用于通信系统优化、金融风险防控和网络拓扑测绘等领域。针对近20年IP地理定位领域的研究论文进行系统总结，分析各类技术的特点、优势与局限性，并深入调研实际应用场景和潜在发展方向。通过构建综合性IP地理定位技术体系框架，整合不同方法与范式，重点分析目前存在的问题，旨在为后续研究提供理论与方法论的支持，推动IP地理定位技术进一步发展和创新性应用。,
商业银行数字化转型对风险溢出的影响研究——基于溢出指数测度和门槛回归的实证分析,在建设金融强国背景下，金融创新和金融改革不断深化，银行间关联程度不断提升，考察银行间风险溢出效应成为“守住不发生系统性金融风险底线”的关键环节。银行数字化转型提高了金融服务实体经济的质效，但也给金融风险防范带来了更多不确定因素。本文基于2013—2022年上市商业银行微观数据，利用DY溢出指数测度商业银行动态风险溢出，爬取百度搜索新闻文本数据构建商业银行数字化转型程度指标，研究商业银行数字化转型对风险溢出的非线性影响。研究发现，商业银行风险溢出水平较高，数字化转型程度对商业银行风险溢出存在显著的单门槛影响效应：在数字化转型初期会提高风险溢出，但在后期能抑制风险溢出。异质性分析发现，资产规模较大的银行数字化转型对风险溢出抑制作用更强，但资产规模较小的银行门槛值更低。政府应高度关注风险溢出水平较高的银行，针对银行数字化不同阶段采取差异化监管措施，推动规模较小银行加强数字化变革尽快跨越门槛。,2025.0
人工智能在金融风险预警模型中的应用与优化策略,随着金融市场的快速发展和日益复杂，风险预警的重要性越发凸显。人工智能技术在金融风险预警模型中得到了广泛应用，通过大数据分析、机器学习算法等手段挖掘数据价值，提高风险识别的精准度与效率。然而，目前仍存在数据质量参差不齐影响模型准确性，算法的可解释性差导致决策透明度低等不足。人工智能可以突破传统预警方法的局限，实现更及时、全面的风险监测与防控。本文分析人工智能在金融风险预警模型中的应用现状和存在的问题，进而探索优化策略，旨在帮助金融机构提升风险管理水平，增强金融体系的稳定性。,2025.0
基于人工智能技术的数学相关专业人才培养创新模式研究,<正>引言人工智能技术正引领人们进入一个数据驱动、算法主导的新时代，其影响广泛，涉及自动驾驶、智能医疗、金融风险评估以及语言翻译等领域。在这场变革中，数学作为核心基础科学，对人工智能算法设计、模型构建以及优化分析起着至关重要的作用。微积分、线性代数、概率论以及优化理论等数学知识为人工智能提供了坚实的理论支撑和工具，尤其在深度学习、机器学习等前沿领域，数学模型的构建和优化直接影响算法效率和准确性。,2025.0
基于人工智能的金融业务风险预警系统设计,随着金融业务的快速发展，风险管理的复杂性日益增加，传统的风险预警手段已难以满足现代金融市场的需求。研究旨在设计并实现一套智能风险预警系统，该系统包括用户注册登录、风险数据抓取、风险模型构建、实时追踪等功能模块。系统测试结果表明，该预警系统在功能完整性和性能稳定性方面均达到预期目标，显著提高了金融风险管理的效率。,2025.0
百年金融风险防范的中西比较,<正>西方金融风险治理的经验与局限 风险治理的制度框架：监管体系不断演进完善。西方自1825年首次爆发现代经济危机以来，逐步建立现代中央银行制度，曾在实践中尝试分业监管体系（如投资银行与商业银行分离）后回归综合式监管模式，试图通过技术手段（风险评估模型）与法律规范控制风险。尽管监管体系不断完善，但金融危机仍周期性爆发，表明单纯依赖市场调节与技术创新无法根除系统性风险。,2025.0
利率追逐机制与银行主动风险承担行为：渠道识别与机制检验,在利率市场化背景下，利率追逐机制与银行主动风险承担行为的密切关联，是决定货币政策执行效果的关键之一。本文采用我国上市商业银行的面板数据，基于渠道识别，通过设计多种两阶段回归模型，识别了我国货币政策风险承担渠道，并进行了机制检验，重点研究利率追逐机制与银行主动风险承担行为的关联性。研究发现：利率市场化背景下，考虑渠道识别后，实际利率越低于政策基准利率，银行追逐利率的激励越大，其主动风险承担也越高。这表明货币政策风险承担渠道显著存在。经过渠道识别、不同模型设定、采用工具变量法进行内生性处理之后，该结论仍然稳健。实际短期利率与平滑“泰勒规则”利率之差的主动风险承担效应占实际短期利率与标准“泰勒规则”利率之差的效应的85.24%～93.27%。“利率追逐机制”在我国占据主导地位，它具有滞后效应，若银行主动风险承担累积到一定程度，可能会导致系统性金融风险。本研究不仅丰富了货币政策风险承担渠道的相关文献，而且对利率市场化背景下疏通我国货币政策利率的传导机制，以及中国人民银行科学设定基准利率，防范系统性金融风险，也具有一定的参考价值。,2025.0
美国货币政策冲击对我国行业的溢出效应研究——基于生产网络的视角,全球金融一体化背景下，不断细分的全球化产业链分工体系引起金融风险在地域间的扩散。作为全球金融周期的主要驱动因素，美国货币政策冲击对全球金融市场产生明显的外溢效应。本文考察美国货币政策冲击下沪深A股上市企业中39个行业的股票市场表现，分析冲击对我国各行业的总体效应，并基于生产网络视角使用空间自回归模型将美国货币政策冲击的总体效应分解为直接效应和生产网络效应。研究发现：我国股市对美国货币政策冲击反应的40%以上来源于生产网络效应；不同行业在生产网络传导链条中的表现呈现异质性，这种异质性可以由行业参与国际生产网络的深度解释；微观层面，拥有美国子公司的中国企业一定程度上充当了美国货币政策冲击向国内传导的纽带。本研究为外部冲击的生产网络传导渠道提供了新的经验证据。,2025.0
促进还是抑制：数字金融对农村商业银行风险承担的影响,防范化解农村金融风险对推进我国金融高质量发展意义重大。数字金融的快速发展革新了传统银行的运营和管理模式，为农村金融机构提升风险管理水平提供了新思路。以2014—2022年我国79家农村商业银行为研究对象，通过构建面板回归模型，分析数字金融对农村商业银行风险承担的影响及作用机制。研究发现：数字金融对农村商业银行的风险承担具有显著的抑制作用，且这种影响在小规模农村商业银行和东部地区的农村商业银行中更为明显。机制分析表明：数字金融能够通过提高农村商业银行的创新能力和盈利能力来降低其风险承担。调节效应分析发现：宽松的货币政策强化了数字金融对农村商业银行风险承担的抑制效果。因此，在数字金融推动下，农村商业银行应持续加大数字技术的投入与使用力度，不断提升数字化水平，增强风险应对能力。,2025.0
