Article Title,Abstract,Publication Year
Harnessing a Hybrid CNN-LSTM Model for Portfolio Performance: A Case Study on Stock Selection and Optimization,"Portfolio theory underpins portfolio management, a much-researched yet uncharted field. This research suggests a collective framework combined with the essence of deep learning for stock selection through prediction and optimal portfolio formation through the mean-variance (MV) model. The CNN-LSTM model, proposed in Stage I blends the benefits of the convolutional neural network (CNN) and the long-short-term memory network (LSTM). The model combines feature extraction and sequential learning about temporal data fluctuations. The experiment considers thirteen input features, combining fundamental market data and technical indicators to capture the nuances of the wildly fluctuating stock market data. The input data sample of 21 stocks was collected from the National Stock Exchange (NSE) of India from January 2005 to December 2021, spanning two significant market crashes. Thus, the sample makes it possible to catch subtle market shifts for model execution. The shortlisted stocks with high potential returns are advanced to Stage II for optimal stock allocation using the MV model. The proposed hybrid CNN-LSTM outperformed the single models, i.e., CNN and LSTM, per the six-performance metrics and advocated by the 10-fold cross-validation technique. Furthermore, the statistical significance of the model is established using non-parametric tests followed by post hoc analysis. In addition, this method is validated by comparing the proposed model to four baseline strategies and relevant pieces of research, which it considerably outperforms in terms of cumulative return per year, Sharpe ratio, and average return to risk with and without transaction cost. These findings highlight the effectiveness of the hybrid CNN-LSTM approach in stock selection and portfolio optimization.",2023
Portfolio Optimization-Based Stock Prediction Using Long-Short Term Memory Network in Quantitative Trading,"In quantitative trading, stock prediction plays an important role in developing an effective trading strategy to achieve a substantial return. Prediction outcomes also are the prerequisites for active portfolio construction and optimization. However, the stock prediction is a challenging task because of the diversified factors involved such as uncertainty and instability. Most of the previous research focuses on analyzing financial historical data based on statistical techniques, which is known as a type of time series analysis with limited achievements. Recently, deep learning techniques, specifically recurrent neural network (RNN), has been designed to work with sequence prediction. In this paper, a long short-term memory (LSTM) network, which is a special kind of RNN, is proposed to predict stock movement based on historical data. In order to construct an efficient portfolio, multiple portfolio optimization techniques, including equal-weighted modeling (EQ), simulation modeling Monte Carlo simulation (MCS), and optimization modeling mean variant optimization (MVO), are used to improve the portfolio performance. The results showed that our proposed LSTM prediction model works efficiently by obtaining high accuracy from stock prediction. The constructed portfolios based on the LSTM prediction model outperformed other constructed portfolios-based prediction models such as linear regression and support vector machine. In addition, optimization techniques showed a significant improvement in the return and Sharpe ratio of the constructed portfolios. Furthermore, our constructed portfolios beat the benchmark Standard and Poor 500 (S&P 500) index in both active returns and Sharpe ratios.",2020
Financial Portfolio Construction for Quantitative Trading Using Deep Learning Technique,"Stock portfolio construction is a difficult task which involves the simultaneous consideration of dynamic financial data as well as investment criteria (e.g.: investors required return, risk tolerance, goals, and time frame). The objective of this research is to present a two phase deep learning module to csonstruct a financial stocks portfolio that can be used repeatedly to select the most promising stocks and adjust stocks allocations (namely quantitative trading system). A deep belief network is used to discover the complex regularities among the stocks while a long short-term memory network is used for time series financial data prediction. The proposed deep learning architecture has been tested on the american stock market and has outperformed other known machine learning techniques (support vector machine and random forests) in several prediction accuracy metrices. Furthermore, the results showed that our architecture as a portfolio construction model outperforms three benchmark models with several financial profitability and risk-adjusted metrics.",2021
Applications of Markov Decision Process Model and Deep Learning in Quantitative Portfolio Management during the COVID-19 Pandemic,"Whether for institutional investors or individual investors, there is an urgent need to explore autonomous models that can adapt to the non-stationary, low-signal-to-noise markets. This research aims to explore the two unique challenges in quantitative portfolio management: (1) the difficulty of representation and (2) the complexity of environments. In this research, we suggest a Markov decision process model-based deep reinforcement learning model including deep learning methods to perform strategy optimization, called SwanTrader. To achieve better decisions of the portfolio-management process from two different perspectives, i.e., the temporal patterns analysis and robustness information capture based on market observations, we suggest an optimal deep learning network in our model that incorporates a stacked sparse denoising autoencoder (SSDAE) and a long-short-term-memory-based autoencoder (LSTM-AE). The findings in times of COVID-19 show that the suggested model using two deep learning models gives better results with an alluring performance profile in comparison with four standard machine learning models and two state-of-the-art reinforcement learning models in terms of Sharpe ratio, Calmar ratio, and beta and alpha values. Furthermore, we analyzed which deep learning models and reward functions were most effective in optimizing the agent's management decisions. The results of our suggested model for investors can assist in reducing the risk of investment loss as well as help them to make sound decisions.",2022
Portfolio optimization and return prediction by integrating modified deep belief network and recurrent neural network,"The victory of portfolio construction is mostly based on the future stock market performance. Recently, the developed machine learning techniques bring more significance of involving the prediction theory for selecting the portfolio. Implementing the return prediction of conventional time series methods in portfolio generation can enhance the efficiency of real portfolio optimization method. But, expert systems and deep structured learning methods has gives awesome performance when comparing other time series methods, in this work integrates return prediction in portfolio formation with hybridized deep learning method named Deep Belief-Recurrent Neural Network (DBRNN). The forecasting of the portfolio is performed by the optimal training (weight optimization) of RNN with DBN, by the hybrid meta-heuristic algorithm termed Harris Hawks-Deer Hunting Optimization (HH-DHO). The newly developed optimization algorithm does not fall into the local optimum owing to the integrated method of exploration in the DHOA and HHO. The combination of standard algorithms is confirmed that it is better for solving the test problems and is it is very competitive and realistic over other conventional algorithms. Thus, it reveals that the implemented HH-DHO can highly balance the exploration and exploitation phases. With the predicted information by the integrated deep learning model, the best companies that high returns are optimally selected by the same hybrid HH-DHO. It can be enlarge the prediction performance of the designed approaches. On observing the analysis, the acquired results reveal that the suggested method is superior to existing ways and benchmarks in terms of returns and risks. (C) 2022 Elsevier B.V. All rights reserved.",2022
Enhancing Portfolio Optimization: A Two-Stage Approach with Deep Learning and Portfolio Optimization,"The portfolio selection problem has been a central focus in financial research. A complete portfolio selection process includes two stages: stock pre-selection and portfolio optimization. However, most existing studies focus on portfolio optimization, often overlooking stock pre-selection. To address this problem, this paper presents a novel two-stage approach that integrates deep learning with portfolio optimization. In the first stage, we develop a stock trend prediction model for stock pre-selection called the AGC-CNN model, which leverages a convolutional neural network (CNN), self-attention mechanism, Graph Convolutional Network (GCN), and k-reciprocal nearest neighbors (k-reciprocal NN). Specifically, we utilize a CNN to capture individual stock information and a GCN to capture relationships among stocks. Moreover, we incorporate the self-attention mechanism into the GCN to extract deeper data features and employ k-reciprocal NN to enhance the accuracy and robustness of the graph structure in the GCN. In the second stage, we employ the Global Minimum Variance (GMV) model for portfolio optimization, culminating in the AGC-CNN+GMV two-stage approach. We empirically validate the proposed two-stage approach using real-world data through numerical studies, achieving a roughly 35% increase in Cumulative Returns compared to portfolio optimization models without stock pre-selection, demonstrating its robust performance in the Average Return, Sharp Ratio, Turnover-adjusted Sharp Ratio, and Sortino Ratio.",2024
An integrative extraction approach for index-tracking portfolio construction and forecasting under a deep learning framework,"This paper proposed a fusion model of the deep long- and short-term memory network named as deep LSTM and the stochastic dominance named as SD filter method to construct an index-tracking portfolio. We present a practical model that provides investors for portfolio construction using the deep LSTM model on extracting stock features and integrating the dimension deduction ability of the SD approach to the fusion model. Three main conclusions are drawn. First, deep learning in a supervised framework can work in portfolio management with our tuned model. Second, our deep LSTM model with an SD selection filter has enhanced the feature extraction ability to construct an index-tracking portfolio. Third, the linear activator, rectified linear unit, cooperated with SD methods can better reduce the estimation errors than the nonlinear activator in our deep LSTM model. These findings can implement on the portfolio construction in the neural network field. Additionally, entropy suggests to evaluate the learning effect of forecasting. The SD methods also are indicated for prosecuting in other neural network models to extract features of time series data, like transformer-based models.",2024
Deep learning applications in investment portfolio management: a systematic literature review,"PurposeMachine learning (ML), and deep learning in particular, is gaining traction across a myriad of real-life applications. Portfolio management is no exception. This paper provides a systematic literature review of deep learning applications for portfolio management. The findings are likely to be valuable for industry practitioners and researchers alike, experimenting with novel portfolio management approaches and furthering investment management practice.Design/methodology/approachThis review follows the guidance and methodology of Linnenluecke et al. (2020), Massaro et al. (2016) and Fisch and Block (2018) to first identify relevant literature based on an appropriately developed search phrase, filter the resultant set of publications and present descriptive and analytical findings of the research itself and its metadata.FindingsThe authors find a strong dominance of reinforcement learning algorithms applied to the field, given their through-time portfolio management capabilities. Other well-known deep learning models, such as convolutional neural network (CNN) and recurrent neural network (RNN) and its derivatives, have shown to be well-suited for time-series forecasting. Most recently, the number of papers published in the field has been increasing, potentially driven by computational advances, hardware accessibility and data availability. The review shows several promising applications and identifies future research opportunities, including better balance on the risk-reward spectrum, novel ways to reduce data dimensionality and pre-process the inputs, stronger focus on direct weights generation, novel deep learning architectures and consistent data choices.Originality/valueSeveral systematic reviews have been conducted with a broader focus of ML applications in finance. However, to the best of the authors' knowledge, this is the first review to focus on deep learning architectures and their applications in the investment portfolio management problem. The review also presents a novel universal taxonomy of models used.",2025
"Forecasting Stock Market Indices Using the Recurrent Neural Network Based Hybrid Models: CNN-LSTM, GRU-CNN, and Ensemble Models","Various deep learning techniques have recently been developed in many fields due to the rapid advancement of technology and computing power. These techniques have been widely applied in finance for stock market prediction, portfolio optimization, risk management, and trading strategies. Forecasting stock indices with noisy data is a complex and challenging task, but it plays an important role in the appropriate timing of buying or selling stocks, which is one of the most popular and valuable areas in finance. In this work, we propose novel hybrid models for forecasting the one-time-step and multi-time-step close prices of DAX, DOW, and S&P500 indices by utilizing recurrent neural network (RNN)-based models; convolutional neural network-long short-term memory (CNN-LSTM), gated recurrent unit (GRU)-CNN, and ensemble models. We propose the averaging of the high and low prices of stock market indices as a novel feature. The experimental results confirmed that our models outperformed the traditional machine-learning models in 48.1% and 40.7% of the cases in terms of the mean squared error (MSE) and mean absolute error (MAE), respectively, in the case of one-time-step forecasting and 81.5% of the cases in terms of the MSE and MAE in the case of multi-time-step forecasting.",2023
Comparative Analysis Of Deep Learning Approaches Used For Stock Price Prediction,"Stock market analysis is nonlinear, highly volatile and complex. Predicting the stock price is a highly challenging task. The change in stock price is affected by certain factors such as economic situation, political circumstances, sentiments, global pandemic like Covid-19 and global impact of Russo-Ukrainian War. Forecasting the stock market presents a significant difficulty to investors to build a profitable portfolio or to reduce stock risk in the stock market. Artificial Intelligence (AI), Machine Learning (ML) and Deep Learning (DL) have been abundantly used for stock trend and price prediction considering time series data and sentiments. In this paper we consider the stocks of 5 companies (Tata Steel, Tata Motors, Sun Pharmacy, Infosys and HDFC Bank) from National Stock Exchange (NIFTY 50). Convolution Neural Network (CNN), Recurrent Neural Network (RNN), Long Short-Term Memory (LSTM) and Bidirectional Long Short-Term Memory (Bi-LSTM) methods were used for data set of duration 01 January 2014 - 01 February 2024, was evaluated the prediction model using Root Mean Squared Error (RMSE) and Mean Absolute Percentage Error (MAPE). The Bi-LSTM model achieved an RMSE of 6.6 for TATA Steel stock and a MAPE of 0.010 for Sun Pharma stock. The study proves the Bi-LSTM is an effective deep learning algorithm for predicting the future closing price of a stock as compared to CNN, RNN and LSTM.",2024
