Article Title,Abstract,Publication Year
Machine Learning Solutions for Fast Real Estate Derivatives Pricing,"The rapid development of machine learning provides new ideas to solve the challenges in pricing financial derivatives, which remains a major obstacle to the further development of real estate derivatives. Previous studies for pricing real estate derivatives rely on classical parametrical models, which have the drawbacks of expensive repetitive computations and unrealistic model assumptions. However, machine learning does not rely on model parameters and quickly prices real estate derivatives by learning data samples. This paper compares four machine learning methods (neural network, eXtreme Gradient Boosting, support vector regression and random forest) in pricing derivatives and finds that neural network method can price real estate index options with higher accuracy and more stability. Studies of pricing efficiency show that neural networks are more computationally efficient than simulation methods for the same computational accuracy. Under the condition that the number of prediction samples increases, the computation time of the neural network is basically unchanged, and the computation efficiency is improved more significantly than that of the simulation method. Similar results are obtained by the neural network method in the process of pricing real estate index options with stochastic interest rate. Moreover, neural networks do not decrease computational efficiency as computational complexity increases.",2024
Pricing cryptocurrency options with machine learning regression for handling market volatility,"Pricing cryptocurrency options, crucial for risk management and market stabilization, presents unique challenges due to specific underlying dynamics like the inversion of the leverage effect. Classical option pricing models like Black-Scholes and Heston struggle to address these dynamics due to their set of assumptions. This study introduces machine learning models for options pricing, specifically regression -tree methods. A data -driven machine learning model can incorporate high -frequency volatility estimators into the input set to enhance pricing accuracy. By integrating these estimators, machine learning models can capture the complex dynamics of cryptocurrency markets more effectively than classical pricing approaches. The comparative analysis reveals that equity options are easier to price, clearly indicating inefficiencies in the cryptocurrency option market, which confirms the challenges in achieving accurate pricing. Our results highlight the effectiveness of machine learning models in adapting to the unique characteristics of emerging asset classes, suggesting a shift towards more data -oriented pricing methodologies",2024
Generative Bayesian neural network model for risk-neutral pricing of American index options,"Financial models with stochastic volatility or jumps play a critical role as alternative option pricing models for the classical Black-Scholes model, which have the ability to fit different market volatility structures. Recently, machine learning models have elicited considerable attention from researchers because of their improved prediction accuracy in pricing financial derivatives. We propose a generative Bayesian learning model that incorporates a prior reflecting a risk-neutral pricing structure to provide fair prices for the deep ITM and the deep OTM options that are rarely traded. We conduct a comprehensive empirical study to compare classical financial option models with machine learning models in terms of model estimation and prediction using S&P 100 American put options from 2003 to 2012. Results indicate that machine learning models demonstrate better prediction performance than the classical financial option models. Especially, we observe that the generative Bayesian neural network model demonstrates the best overall prediction performance.",2019
On the pricing of capped volatility swaps using machine learning techniques,"A capped volatility swap is a forward contract on an asset's capped, annualized, realized volatility, over a predetermined period of time. This paper presents data-driven machine learning techniques for pricing such capped volatility swaps, using unique data sets comprising both the strike price of contracts at initiation and the daily observed prices of running contracts. Additionally, the developed model can serve as a validation tool for external volatility swap prices, flagging prices that deviate significantly from the estimated value. In order to predict the capped, future, realized volatility, we explore distributional information on the underlying asset, specifically by extracting information from the implied volatilities and market-implied moments of the asset. The pricing performance of tree-based machine learning techniques and a Gaussian process regression model is evaluated in a validation setting tailored to the use of financial data.",2024
APPLICATION OF MACHINE LEARNING: AN ANALYSIS OF ASIAN OPTIONS PRICING USING NEURAL NETWORK,"Pricing Asian Option is imperative to researchers, analysts, traders and any other related experts involved in the option trading markets and the academic field. Not only trading highly affected by the accuracy of the price of Asian options but also portfolios that involve hedging of commodity. Several attempts have been made to model the Asian option prices with closed-form over the past twenty years such as the Kemna-Vorst Model and Levy Approximation. Although today the two closed-form models are still widely used, their accuracy and reliability are called into question. The reason is simple; the Kemna-Vorst model is derived with an assumption of geometric mean of the stocks. In practice, Average Priced Options are mostly arithmetic and thus always have a volatility high than the volatility of a geometric mean making the Asian options always underpriced. On the other hand, the Levy Approximation using Monte Carlo Simulation as a benchmark, do not perform well when the product of the sigma (volatility) and square root maturity of the underlying is larger than 0.2. When the maturity of the option enlarges, the performance of the Levy Approximation largely deteriorates. If the closed-form models could be improved, higher frequency trading of Asian option will become possible. Moreover, building neural networks for different contracts of Asian Options allows reuse of computed prices and large-scale portfolio management that involves many contracts. In this thesis, we use Neural Network to fill the gap between the price of a closed-form model and that of an Asian option. The significance of this method answers two interesting questions. First, could an Asian option trader with a systematic behavior in pricing learned from previous quotes improve his pricing or trading performance in the future? Second, will a training set of previous data help to improve the performance of a financial model? We perform two simulation experiments and show that the performance of the closed-form model is significantly improved. Moreover, we extend the learning process to real data quote. The use of Neural Network highly improves the accuracy of the traditional closed-form model. The model's original price is not so much accurate as what we estimate using Neural network and could not capture the high volatility effectively; still, it provides a relative reasonable fit to the problem (Especially the Levy Model). The analysis shows that the Neural Network Algorithms we used affect the results significantly.",2017
Multi-criteria classification for pricing European options,"This paper builds a novel multi-criteria, non-parametric classification framework in order to improve the accuracy of pricing European options. The proposed approach is based on classifying financial options according to their implied volatility, time to maturity and moneyness. Using a recent data set for the daily S&P 500 index call options, the multi-criteria modular neural network model demonstrates its superior out-of-sample pricing performance relative to competing parametric and non-parametric models. By observing the model's pricing errors across various option types, the analysis provides additional insights into pricing biases and stresses the importance of selecting appropriate classification criteria.",2016
Pricing options with a new hybrid neural network model,"A novel hybrid option pricing model using a deep learning neural network has been developed. The hybrid model keeps the traditional option pricing model with the same input parameters while simultaneously adjusting the model with neural network methods to improve accuracy when applied to real market data, especially in OTM options. The new hybrid model demonstrates superior accuracy compared to both traditional parametric and non-parametric option pricing models for both Call and Put options across all moneyness levels. The empirical results of the hybrid model provide an explanation for the deviation from the Put-Call parity observed in real market data.",2024
An Iteration Algorithm for American Options Pricing Based on Reinforcement Learning,"In this paper, we present an iteration algorithm for the pricing of American options based on reinforcement learning. At each iteration, the method approximates the expected discounted payoff of stopping times and produces those closer to optimal. In the convergence analysis, a finite sample bound of the algorithm is derived. The algorithm is evaluated on a multi-dimensional Black-Scholes model and a symmetric stochastic volatility model, the numerical results implied that our algorithm is accurate and efficient for pricing high-dimensional American options.",2022
Gridifying Classification-Monte Carlo algorithm for pricing high-dimensional Bermudan-American options,"Among derivative financial contracts, the widely traded in the financial markets are the Bermudan-American options. However, pricing high-dimensional Bermudan-American options is quite computationally intensive and using traditional computing infrastructures may take up to hours for these computations. This can result in potential financial losses, further weakening the competitiveness of an organization. Several parallel approaches for pricing have been practiced utilizing parallel or cluster computing techniques. We aim to address this problem in the context of grid computing, relying on the ProActive Java distributed computing platform. We parallelize the Classification-Monte Carlo algorithm, which relies on classification techniques front the machine learning domain, for pricing Bermudan-American options. Consequently, we evaluate the performance of two machine learning techniques, Boosting and Support Vector Machines, and compare the numerical results with respect to accuracy, speed up and their applicability in the grid settings. Furthermore, the paper also contributes to the numerical experiments of a high-dimensional Bermudan-American option with 40 underlying assets.",2008
Pricing VIX options with volatility clustering,"We investigate the valuation of volatility index (VIX) options by developing a model with a self-exciting Hawkes process that allows for clustering in the VIX. In the proposed framework, we find semianalytical expressions for the characteristic function and forward characteristic function, and then we solve the pricing problem of standard-start and forward-start options via the fast Fourier transform. The empirical results provide evidence to support the significance of accounting for volatility clustering when pricing VIX options.",2020
