Article Title,Abstract,Publication Year
E-Commerce Enterprises Financial Risk Prediction Based on FA-PSO-LSTM Neural Network Deep Learning Model,"The rapid development of Internet information technology has made e-commerce enterprises face complex and changing financial problems. Combining artificial intelligence algorithms and dynamic monitoring of financial risks has been a current research hotspot. Based on this, this paper conducts an empirical study with a sample of listed Chinese e-commerce enterprises from 2012 to 2022. Firstly, using factor analysis (FA) to obtain the common factors between the original financial and non-financial indicators has the effect of reducing the overfitting risk of the model. Secondly, the mean square error (MSE) of the output and predicted values of the Long Short-Term Memory neural network (LSTM) is used as the fitness function of the intelligent swarm optimization algorithm, and then the Particle Swarm Optimization (PSO) algorithm is used to optimize the learning rate (LR) and the number of hidden layer neurons in the Long Short-Term Memory (LSTM) neural network. Finally, a financial risk prediction model based on FA-PSO-LSTM deep learning is constructed, and multiple benchmark models are introduced for comparative analysis on each evaluation index. The study shows that for nonlinear multivariate data with complex structure, the fused deep learning model proposed in this paper achieves the lowest values in mean square error (MSE), mean absolute error (MAE), and mean absolute percentage error (MAPE). This indicates that the model has the best prediction effect, which is helpful to help managers make relevant decisions efficiently and scientifically and make the enterprise sustainable.",2023
Financial System Risk Warning Based on Deep earning,"As the global economy transitions towards a trajectory of high-quality development, the underlying risks within the financial system are becoming increasingly conspicuous. To precisely identify and effectively address these risks, this paper introduces a financial system risk warning based on a deep learning model. The objective is to notably enhance the accuracy of predicting enterprise financial risks and improve the responsiveness of the warning mechanism. In this study, we harness the strengths of Convolutional Neural Network (CNN) and Long Short-Term Memory Network (LSTM) to develop an efficient CNN-LSTM model. Through rigorous experimental validation and analysis, CNN-LSTM model exhibits outstanding performance in the task of financial risk warning. It not only enhances the precision of early warning but also significantly bolsters the stability and reliability of the warning system.",2024
Carbon trading price forecasting based on parameter optimization VMD and deep network CNN-LSTM model,"To meet carbon peak and neutrality targets, accurate carbon trading price forecasting is very important for enterprises making emission reduction decisions. By fusing convolutional neural network (CNN) and long short-term memory network (LSTM), the CNN-LSTM model is constructed. After variational mode decomposition (VMD), several intrinsic mode functions (IMFs) components are obtained and input into the CNN-LSTM model, thus constructing the combined sooty tern optimization algorithm (STOA)-VMD-CNN-LSTM forecasting model. To test this model, the carbon trading prices of the carbon emission trading markets of Hubei, Guangdong and Shenzhen were forecast. The prediction performance of the STOA-VMD-CNN-LSTM model is compared with ARIMA, BP, CNN and LSTM benchmark models and models combining different decomposition technologies. The international carbon trading price (EUR and CER) is used for prediction. Compared with other methods, the developed model makes fewer errors and achieves superior performance. Several important implications are provided for investors and risk managers involved in carbon financial products.",2024
Risk Measurement of the Financial Credit Industry Driven by Data: Based on DAE-LSTM Deep Learning Algorithm,"The risk measurement of the financial credit industry is an important research issue in the field of financial risk assessment. The design of a financial credit risk measurement algorithm can help investors avoid greater risks and obtain higher returns, so as to promote the benign development of financial credit industry. Based on the combined deep learning algorithm, this paper studies the risk measurement of financial and credit industry and proposes a fusion algorithm of deep auto-encoder (DAE) and long short-term memory (LSTM) network. The algorithm recombines the value of fixed features by using the unsupervised mechanism of DAE and extracts non-fixed features for measurement combined with the memory characteristics of LSTM network. The experimental results show that, compared with single generalized regression neural network and LSTM network, the average accuracy of DAE-LSTM algorithm is improved by about 6.49% and 3.25%, respectively, which has a better application effect in credit risk measurement.",2022
A WOA-CNN-BiLSTM-based multi-feature classification prediction model for smart grid financial markets,"Introduction: Smart grid financial market forecasting is an important topic in deep learning. The traditional LSTM network is widely used in time series forecasting because of its ability to model and forecast time series data. However, in long-term time series forecasting, the lack of historical data may lead to a decline in forecasting performance. This is a difficult problem for traditional LSTM networks to overcome.Methods: In this paper, we propose a new deep-learning model to address this problem. This WOA-CNN-BiLSTM model combines bidirectional long short-term memory network BiLSTM and convolution Advantages of Neural Network CNN. We replace the traditional LSTM network with a bidirectional long short-term memory network, BiLSTM, to exploit its ability in capturing long-term dependencies. It can capture long-term dependencies in time series and is bidirectional modelling. At the same time, we use a convolutional neural network (CNN) to extract features of time series data to better represent and capture patterns and regularity in the data. This method combining BiLSTM and CNN can learn the characteristics of time series data more comprehensively, thus improving the accuracy of prediction. Then,to further improve the performance of the CNN-BiLSTM model, we optimize the model using the whale algorithm WOA. This algorithm is a new optimization algorithm, which has good global search ability and convergence speed, and can complete the optimization of the model in a short time.Results: Optimizing the CNN-BiLSTM model through the WOA algorithm can reduce its calculation and training speed, improve the prediction accuracy of the smart grid financial market, and improve the prediction ability of the smart grid financial market. Experimental results show that our proposed CNN-BiLSTM model has better prediction accuracy than other models and can effectively deal with the problem of missing historical data in long-term sequence forecasting.Discussion: This provides necessary help for the development of smart grid financial markets and risk management services, and can promote the development and growth of the smart grid industry. Our research results are of great significance in deep learning, and provide an effective method and idea for solving the financial market forecasting problem of smart grid.",2023
Credit Risk Prediction Model for Listed Companies Based on CNN-LSTM and Attention Mechanism,"The financial market has been developing rapidly in recent years, and the issue of credit risk concerning listed companies has become increasingly prominent. Therefore, predicting the credit risk of listed companies is an urgent concern for banks, regulators and investors. The commonly used models are the Z-score, Logit (logistic regression model), the kernel-based virtual machine (KVM) and neural network models. However, the results achieved could be more satisfactory. This paper proposes a credit-risk-prediction model for listed companies based on a CNN-LSTM and an attention mechanism, Our approach is based on the benefits of the long short-term memory network (LSTM) model for long-term time-series prediction combined with a convolutional neural network (CNN) model. Furthermore, the advantages of being integrated into a CNN-LSTM model include reducing the complexity of the data, improving the calculation speed and training speed of the model and solving the possible lack of historical data in the long-term sequence prediction of the LSTM model, resulting in prediction accuracy. To reduce problems, we introduced an attention mechanism to assign weights independently and optimize the model. The results show that our model has distinct advantages compared with other CNNs, LSTMs, CNN-LSTMs and other models. The research on the credit-risk prediction of the listing formula has significant meaning.",2023
Financial Warning of Manufacturing Listed Companies Based on Text Mining,"The audit report, as disclosed in the annual reports of listed companies, represents a critical source of textual data for assessing enterprise risk and conducting financial analysis. Descriptions of key audit matters in the audit report offer detailed explanations and insights. This study aims to develop predictive models for assessing the financial distress status of Chinese manufacturing listed companies, enhancing early warning accuracy through the integration of financial indicators and textual data. Utilizing data from 2016 to 2022, which includes Z-Score, F-Score, and descriptions of key audit matters from the financial reports of manufacturing listed companies, we introduce text mining techniques such as TF-IDF, Word2Vec, Doc2Vec, and LDA to extract crucial information. Subsequently, the extracted textual features are dimensionally reduced via PCA and Truncated SVD techniques. We construct multiple deep learning models, including Multilayer Perceptron (MLP), Convolutional Neural Network (CNN), Recurrent Neural Network (RNN), and Long Short-Term Memory (LSTM), using ACC and AUC-ROC as evaluation metrics. The findings indicate that deep learning models incorporating textual data surpass those relying solely on traditional financial indicators in predicting financial distress, achieving an AUC value of 0.9028, marking an improvement of 0.0483. This study not only furnishes a new perspective on financial distress prediction research but also provides effective tools for investors and regulatory agencies to identify potential financial crises.",2024
A Financial Risk Early Warning Model for Listed New Energy Vehicle Companies Based on LSTM: Using SMOTE Oversampling and Simulated Annealing Optimization,"With the rapid development of artificial intelligence technology, the application of deep learning in financial data analysis is becoming increasingly widespread, particularly in the field of financial risk early warning. To address the limitations of traditional financial risk early warning models regarding insufficient samples and class imbalance issues, the paper proposed a financial risk early warning model based on Long Short-Term Memory networks for listed new energy vehicle companies, called SMOTE-SA-LSTM, which integrated SMOTE oversamping and simulated annealing optimization technique.In SMOTE-SA-LSTM, a comprehensive early warning system covering 45 key indicators is constructed by combining both financial and non-financial perspectives, and the sample categories of the training set are balanced by using the SMOTE oversampling technique in order to solve the imbalance of the sample categories in the training set, so as to improve the model's ability of identifying the risks of a few categories. Further, the number of hidden layer units of the LSTM model is optimized by Simulated Annealing SA (SA) to improve the prediction accuracy of the model. Experimental validation shows that the optimized SMOTE-SA-LSTM model performs better in predicting corporate financial changes, risk identification and early warning accuracy.Compared to other traditional models, the SMOTE-SA-LSTM model demonstrates significant advantages in prediction accuracy and recall rate, thereby confirming its practical application value in financial risk early warning.",2024
Composite Triple Activation Function: Enhancing CNN-BiLSTM-AM for Sustainable Financial Risk Prediction in Manufacturing,"As a key pillar of China's economy, the manufacturing industry faces sustainable financial risk management challenges as it undergoes digital and green low-carbon transformation. However, existing financial risk prediction models often suffer from limited accuracy, insufficient robustness, and a suboptimal activation function design. In this study, we investigated advanced deep learning architectures to address these limitations, and we introduced a novel composite triple activation function (CTAF) framework to enhance predictive performance and model robustness. We began by evaluating several deep learning models, such as CNNs, BiLSTM, CNN-AM, and BiLSTM-AM, demonstrating that CNN-BiLSTM-AM achieved the highest performance. On the basis of this model structure, we proposed a CTAF, a composite activation mechanism that combines two distinct functions applied to the raw input x, effectively mitigating gradient instability and enhancing nonlinear expressiveness. Through ablation experiments with different composite activation functions, we verified that the CTAF consistently outperformed alternatives. Meanwhile, the mainstream activation functions and CTAF were applied to different layers for comparison, further verifying the CTAF's advantages in various structures. The optimal configuration was achieved when tanh was used in the CNN and Dense layers and the CTAF (tanh_relu) was applied in a Lambda layer after a BiLSTM layer, resulting in the highest accuracy of 99.5%. Furthermore, paired t-tests and evaluations on cross-industry datasets confirmed the optimal model's stability and generalizability.",2025
Systemic risk prediction based on Savitzky-Golay smoothing and temporal convolutional networks,"Based on the data from January 2007 to December 2021, this paper selects 14 representatives from four levels of the extreme risk of financial institutions, the contagion effect between financial systems, volatility and instability of financial markets, liquidity, and credit risk systemic risk. By constructing a Savitzky-Golay-TCN deep convolutional neural network, the systemic risk indicators of China's financial market are predicted, and their accuracy and reliability are analyzed. The research found that: 1) Savitzky-Golay-TCN deep convolutional neural network has a strong generalization ability, and the prediction effect on all indices is stable. 2) Compared with the three control models (time-series convolutional network (TCN), convolutional neural network (CNN), and long short-term memory (LSTM)), the Savitzky-Golay-TCN deep convolutional neural network has excellent prediction accuracy, and its average prediction accuracy for all indices has increased. 3) Savitzky-Golay-TCN deep convolutional neural network can better monitor financial market changes and effectively predict systemic risk.",2023
