Article Title,Abstract,Publication Year
A Fast Discovery Model for Production Financial Risk Using Large Language Model and Knowledge Graph,"This paper focuses on building an innovative industrial financial risk rapid discovery model based on large language model and knowledge graph inference. Firstly, this work deeply analyzes the diversity, concealment and rapid propagation of industrial financial risks. Secondly, it points out the limitations of traditional risk assessment methods when dealing with massive and heterogeneous financial data. Then, it designs an integrated strategy to integrate the powerful natural language processing and understanding ability of large language models. Combined with the advantages of knowledge graph in structured information representation, this model analyzes financial text data through a large language model. Hence, key information can be automatically extracted and a preliminary risk knowledge base can be built. Finally, an industrial financial network can be established to realize correlation mining and dynamic evolution analysis of risk factors. The experimental results show that the model can effectively capture risk signals in the industrial chain, and detect potential financial risks in advance. This study not only enriches the theoretical framework of industrial financial risk management, but also provides strong technical support for risk prevention and control in practice.",2025
AT-FinGPT: Financial risk prediction via an audio-text large language model,"Financial risk prediction is crucial for investment decision-making. Traditional machine learning methods are limited by their structures and parameter size, which hinders their generalizability and effectiveness. Large language models (LLMs), which are pretrained with very large dataset and many GPUs have recently shown promising improvements in financial risk prediction. Despite this progress, most existing financial LLMs mainly rely on textual data for training and prediction, overlooking audio data and limiting analysis to text summarization. However, natural language processing studies have shown that audio from CEOs' quarterly earnings calls is crucial for financial risk prediction. In this work, we introduce an audio-text LLM named ATFinGPT, which fuses financial audio data and summarization texts for financial risk prediction. The empirical experimental results show that AT-FinGPT is superior to most advanced methods. Through an ablation study, we demonstrate that different data sources can facilitate financial risk assessment and discuss the effectiveness of each part in the AT-FinGPT model.",2025
Can ChatGPT predict Chinese equity premiums?,"Leveraging over 1.86 million news headlines, we examine the capability of ChatGPT-3.5, a large language model (LLM), to predict equity risk premiums in the Chinese market. The predictive scores from ChatGPT not only positively and significantly forecast equity premiums but also markedly outperform the bag-of-words (BoW) method, demonstrating its superior capability to discern intricate market sentiments from extensive datasets. The consistent and reliable performance in both in-sample and out-of-sample tests underscores the effectiveness of ChatGPT and its potential to revolutionize financial forecasting. This study highlights the substantial value and innovative contribution of LLMs, such as ChatGPT, in enriching the precision and depth of financial market analysis.",2024
Can AI beat a naive portfolio? An experiment with anonymized data,"Using anonymized data from the United States (U.S.) market, we evaluate the performance of Google's main LLM (Large Language Model) Gemini 1.5 Flash in making investment decisions. Unlike other studies, we query the LLM for different investment horizons (1 to 36 months) and types of financial information (financial data, price data, and a combination of both). Running a total of 30,000 simulations for 1,522 companies over 20 years of data, we find that Gemini does not consistently outperform a naive portfolio and the S&P 500 index in terms of returns and Sharpe ratios. Additionally, our findings indicate a decline in risk adjusted investment performance as the investment horizon extends.",2025
Combatting Senior Scams Using a Large Language Model-Created Rubric,"This paper addresses the critical issue of internet scams targeting seniors by developing a robust, Machine Learning (ML) based solution employing a Large Language Model (LLM), specifically ChatGPT, to enhance scam detection and prevention. Elderly internet users are particularly vulnerable to digital fraud due to a lack of familiarity with technological safeguards and a tendency not to report incidents. Traditional security measures often fail to accommodate the unique challenges faced by this demographic, prompting our focus on a specialized, user-friendly solution. We propose an innovative approach using ChatGPT 3.5 to analyze and score emails based on their likelihood of being scams, thus providing seniors with a tool that requires minimal interaction while offering maximum protection. This system uses a custom rubric developed through ML techniques to evaluate potential threats effectively. By integrating word embeddings and a diverse training dataset, the model adapts to the nuanced and evolving nature of scam tactics. The methodology utilized in this paper ensures that the ML model not only identifies common scam indicators but also provides actionable feedback to users, making it a practical tool for real-world applications. Preliminary results demonstrate the system's efficacy in recognizing scam emails, thereby significantly reducing the risk of financial loss among seniors and enhancing their confidence in digital communication. This paper outlines the design, implementation, and testing phases of the project, highlighting the potential of LLMs in cybersecurity, specifically in protecting a vulnerable population.",2024
ChatGPT-Assisted Classification fi cation of Postoperative Bleeding Following Microinvasive Glaucoma Surgery Using Electronic Health Record Data,"Purpose: To evaluate the performance of a large language model (LLM) in classifying electronic health record (EHR) text, and to use this classification to evaluate the type and resolution of hemorrhagic events (HEs) after microinvasive glaucoma surgery (MIGS). Design: Retrospective cohort study. Participants: Eyes from the Bascom Palmer Glaucoma Repository. Methods: Eyes that underwent MIGS between July 1, 2014 and February 1, 2022 were analyzed. Chat Generative Pre-trained Transformer (ChatGPT) was used to classify deidentified EHR anterior chamber examination text into HE categories (no hyphema, microhyphema, clot, and hyphema). Agreement between classifications by ChatGPT and a glaucoma specialist was evaluated using Cohen's Kappa and precision-recall (PR) curve. Time to resolution of HEs was assessed using Cox proportional-hazards models. Goniotomy HE resolution was evaluated by degree of angle treatment (90 degrees-179 degrees,180 degrees-269 degrees, 270 degrees-360 degrees). degrees-360 degrees ). Logistic regression was used to identify HE risk factors. Main Outcome Measures: Accuracy of ChatGPT HE classification and incidence and resolution of HEs. Results: The study included 434 goniotomy eyes (368 patients) and 528 Schlemm's canal stent (SCS) eyes (390 patients). Chat Generative Pre-trained Transformer facilitated excellent HE classification (Cohen's kappa 0.93, area under PR curve 0.968). Using ChatGPT classifications, at postoperative day 1, HEs occurred in 67.8% of goniotomy and 25.2% of SCS eyes (P < 0.001). The 270 degrees degrees to 360 degrees degrees goniotomy group had the highest HE rate (84.0%, P < 0.001). At postoperative week 1, HEs were observed in 43.4% and 11.3% of goniotomy and SCS eyes, respectively (P < 0.001). By postoperative month 1, HE rates were 13.3% and 1.3% among goniotomy and SCS eyes, respectively (P < 0.001). Time to HE resolution differed between the goniotomy angle groups (log-rank P = 0.034); median time to resolution was 10, 10, and 15 days for the 90 degrees degrees to 179 degrees, 180 degrees to 269 degrees, and 270 degrees to 360 degrees groups, respectively. Risk factor analysis demonstrated greater goniotomy angle was the only significant predictor of HEs (odds ratio for 270 degrees-360 degrees: 360 degrees : 4.08, P < 0.001). Conclusions: Large language models can be effectively used to classify longitudinal EHR free-text examination data with high accuracy, highlighting a promising direction for future LLM-assisted research and clinical decision support. Hemorrhagic events are relatively common self-resolving complications that occur more often in goniotomy cases and with larger goniotomy treatments. Time to HE resolution differs significantly between goniotomy groups. Financial Disclosure(s):Proprietary or commercial disclosure may be found in the Footnotes and Disclosures at the end of this article. Ophthalmology Science 2025;5:1006022024 by the American Academy of Ophthalmology. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).",2025
A Comparative Review of Advanced Techniques for Financial Sentiment Analysis,"Financial sentiment analysis, the task of discerning market sentiment from financial texts, plays a crucial role in investment decisions, risk assessment, and understanding economic trends. Traditional sentiment analysis techniques have often faced limitations in handling the complexities and nuances of financial language. The advent of large language models (LLMs) has brought a paradigm shift in this field. With their remarkable ability to process and understand natural language, LLMs are enabling new approaches that increase the accuracy and sophistication of financial sentiment analysis. This paper provides a comparative overview of cutting-edge LLM-based techniques for financial sentiment analysis. We introduce a six-pronged classification framework covering data types, sentiment granularity, model architectures, training approaches, methodological focus, and evaluation metrics. This framework aims to provide a structured perspective for understanding recent research trends. Our analysis reveals several key developments in the field. We discuss the challenges and opportunities associated with advanced techniques, like Instruction-tuning approaches and Retrieval-augmented methods. While LLMs offer clear advantages, ensuring data quality, mitigating bias, enhancing model explainability, and scaling these models to real-world applications remain active research areas. This review offers investors and financial researchers a comprehensive guide to the evolving landscape of financial sentiment analysis, facilitating well-informed choices for different use cases and laying the groundwork for future research.",2024
Revolutionizing finance with conversational AI: a focus on ChatGPT implementation and challenges,"This study aims to investigate the application and management strategies of ChatGPT in financial services. We explore the potential of ChatGPT in financial customer service, financial planning, risk management, portfolio analysis, insurance services, and fraud prevention, for which it is found to provide efficient automated solutions for financial institutions. To successfully implement ChatGPT applications, we emphasize the importance of managing conversational AI, including clarifying business requirements, identifying application scenarios, building appropriate data models, ensuring security and privacy, performing manual supervision, and establishing evaluation and feedback mechanisms. Besides, we also analyze the challenges and limitations of ChatGPT in financial business, such as data trustworthiness, data privacy and security issues, model bias, and regulatory and compliance issues. Under this foundation, we propose corresponding solutions. Finally, we look forward to the future development of ChatGPT in the financial domain and make corresponding practical suggestions to help financial institutions better utilize ChatGPT technology.",2025
Assessing ChatGPT's Proficiency in Quantitative Risk Management,"The purpose and novelty of this article is to investigate the extent to which artificial intelligence chatbot ChatGPT can grasp concepts from quantitative risk management. To this end, we enter a scholarly discussion with ChatGPT in the form of questions and answers, and analyze the responses. The questions are classics from undergraduate and graduate courses on quantitative risk management, and address risk in general, risk measures, time series, extremes and dependence. As a result, the non-technical aspects of risk (such as explanations of various types of financial risk, the driving factors underlying the financial crisis of 2007 to 2009, or a basic introduction to the Basel Framework) are well understood by ChatGPT. More technical aspects (such as mathematical facts), however, are often inaccurate or wrong, partly in rather subtle ways not obvious without expert knowledge, which we point out. The article concludes by providing guidance on the types of applications for which consulting ChatGPT can be useful in order to enhance one's own knowledge of quantitative risk management (e.g., using ChatGPT as an educational tool to test one's own understanding of an already grasped concept, or using ChatGPT as a practical tool for identifying risks just not on one's own radar), and points out those applications for which the current version of ChatGPT should not be invoked (e.g., for learning mathematical concepts, or for learning entirely new concepts for which one has no basis of comparison to assess ChatGPT's capabilities).",2023
LLM-infused bi-level semantic enhancement for corporate credit risk prediction,"Corporate credit risk (CCR) prediction enables investors, governments, and companies to make informed financial decisions. Existing research primarily focuses solely on the tabular feature values, yet it often overlooks the rich inherent semantic information. In this paper, a novel bi-level semantic enhancement framework for CCR prediction is proposed. Firstly, at the data- level, a large language model (LLM) generates detailed textual descriptions of companies' financial conditions, infusing raw tabular training data with semantic information and domain knowledge. Secondly, to enable semantic perception during inference when only tabular data is available, a contrastive multimodal multitask learning model (CMML) is proposed at the model level. CMML leverages the semantically enhanced data from the previous level to acquire semantic perception capabilities during the training phase, requiring only tabular data during prediction. It aligns the representations of tabular data with textual data, enabling extracting semantically rich features from tabular data. Furthermore, a semantic alignment classifier and an MLP classifier are integrated into a weighted ensemble learner within a multitask learning architecture to enhance robustness. Empirical verification on two datasets demonstrates that CMML surpasses benchmark models in key metrics, particularly in scenarios with limited samples and high proportions of unseen corporations, implying its effectiveness in CCR prediction through bi-level semantic enhancement.",2025
Impact of EU non-financial reporting regulation on Spanish companies' environmental disclosure: a cutting-edge natural language processing approach,"BackgroundA debate exists about the effects of environmental disclosure becoming mandatory on the quality and the actual commitment of such reporting. This study seeks to assess whether differences exist when comparing the disclosure quality and comprehensiveness of Spanish companies' non-financial reports under voluntary and mandatory reporting regimes spanning the period 2015-2022.MethodsWe present a novel approach by utilizing cutting-edge Natural Language Processing (NLP) techniques, chiefly ClimateBERT (a transformer-LLM-Large Language Model) and ClimateBERT fine-tuned on ClimaText (a public database for climate change topic detection), to scrutinize and compare 729 voluntary and mandatory non-financial corporate reports from 96 Spanish companies spanning multiple sectors. Since transformers can only be accurately estimated by organizations with lots of computing power, but not by small organizations, we have also fine-tuned the transformer, something cheaper in computational terms, thus making it affordable to all companies, investors, regulators, policymakers, and other stakeholders.ResultsOur results document interesting patterns and strong trends of enhancement in specificity and commitment, particularly in risk-related texts, spanning the period 2015-2022. We provide descriptive evidence and an explorative appeal that underscores the regulations' influence, among many other factors also identified by prior literature (other stakeholders' requirements and expectations from companies, aside from the regulatory stakeholders), in fostering a higher quality and more comprehensive approach to climate risk reporting by Spanish companies, with enhanced alignment to internationally recognized reporting guidelines. In addition, the comparative analysis between the transformer model and the fine-tuned transformer model revealed subtle yet insightful differences in how climate disclosures are interpreted. The fine-tuned model exhibited an increased sensitivity to elements of commitment, specificity, and neutrality in climate texts.ConclusionsOur findings highlight the potential of cutting-edge NLP techniques, like fine-tuned transformers, in the quantitative assessment of the evolution and quality of environmental disclosures, either mandatory or voluntary. It is the first paper applying a fine-tuned transformer-LLM to compare the currently in force European mandatory environmental disclosure regulation's impact on Spanish companies' environmental disclosure versus previous voluntary reporting.",2025
